timestamp,count,uniques,metric,value,rank,repo
2023-03-20 00:00:00+00:00,10,4,popular/paths,/snowplow/dbt-snowplow-media-player/pull/34/files,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,8,3,popular/paths,/snowplow/dbt-snowplow-media-player/pull/39,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,8,2,popular/paths,/snowplow/dbt-snowplow-media-player/actions/runs/4418557835/jobs/7745842787,7,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,6,3,popular/paths,/snowplow/dbt-snowplow-media-player/pull/38/files,8,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,6,1,popular/paths,/snowplow/dbt-snowplow-media-player/tree/gh_pages/docs,9,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,5,2,popular/paths,/snowplow/dbt-snowplow-media-player/blob/main/dbt_project.yml,10,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,19,3,popular/referrers,github.com,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,5,3,popular/referrers,Google,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,3,1,popular/referrers,com.google.android.gm,3,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,2,2,views,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,5,1,views,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,2,2,views,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,14,1,views,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,74,6,views,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,72,3,views,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,63,7,views,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,23,3,views,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,47,3,views,,,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,68,21,clones,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,148,52,clones,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,90,33,clones,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,81,32,clones,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,90,27,clones,,,dbt-snowplow-normalize
2023-03-11 00:00:00+00:00,56,23,clones,,,dbt-snowplow-normalize
2023-03-12 00:00:00+00:00,56,24,clones,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,82,30,clones,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,126,35,clones,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,75,27,clones,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,69,25,clones,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,85,48,clones,,,dbt-snowplow-normalize
2023-03-18 00:00:00+00:00,56,25,clones,,,dbt-snowplow-normalize
2023-03-19 00:00:00+00:00,57,26,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,34,15,clones,,,dbt-snowplow-normalize
